Date,Open,High,Low,Close,Volume,OpenInt
2007-07-11,16.904,17.124,16.816,16.955,228826496,0
2007-07-12,17.137,17.192,16.955,17.167,196391708,0
2007-07-13,17.288,17.656,17.224,17.639,252948977,0
2007-07-16,17.744,17.925,17.611,17.684,260952496,0
2007-07-17,17.709,17.88,17.611,17.788,197627504,0
2007-07-18,17.696,17.727,17.423,17.686,211062111,0
2007-07-19,17.965,18.032,17.887,17.927,204095535,0
2007-07-20,18.144,18.464,17.927,18.409,324422187,0
2007-07-23,18.366,18.598,18.049,18.401,288496408,0
2007-07-24,17.781,18.058,17.18,17.271,500393811,0
2007-07-25,17.596,17.717,17.288,17.578,418343924,0
2007-07-26,18.688,19.018,17.539,18.696,609713291,0
2007-07-27,18.715,19.071,18.411,18.421,322997313,0
2007-07-30,18.476,18.628,17.876,18.112,308938917,0
2007-07-31,18.314,18.374,16.843,16.873,490674255,0
2007-08-01,17.111,17.34,16.363,17.288,487845317,0
2007-08-02,17.531,17.539,17.18,17.477,237703871,0
2007-08-03,17.338,17.41,16.84,16.884,188995834,0
2007-08-06,17.02,17.325,16.431,17.323,257826874,0
2007-08-07,17.278,17.575,16.984,17.291,264743117,0
2007-08-08,17.514,17.526,16.904,17.16,225182326,0
2007-08-09,16.79,17.032,16.017,16.188,313384801,0
2007-08-10,15.752,16.36,15.408,16.006,393062029,0
2007-08-13,16.457,16.564,16.201,16.366,209871835,0
2007-08-14,16.43,16.431,15.841,15.882,205582841,0
2007-08-15,15.719,15.991,15.322,15.355,276360162,0
2007-08-16,14.97,15.175,14.295,14.989,519423293,0
2007-08-17,15.623,15.815,15.346,15.63,333047893,0
2007-08-20,15.878,15.945,15.431,15.649,223957303,0
2007-08-21,15.648,16.516,15.494,16.336,362635238,0
2007-08-22,16.815,16.999,16.692,16.969,292681523,0
2007-08-23,17.065,17.076,16.618,16.784,241472936,0
2007-08-24,16.716,17.338,16.624,17.328,253888243,0
2007-08-27,17.088,17.244,16.917,16.936,197001364,0
2007-08-28,16.757,16.958,16.216,16.24,328245497,0
2007-08-29,16.631,17.184,16.588,17.17,325045062,0
2007-08-30,16.977,17.703,16.943,17.447,399939244,0
2007-08-31,17.875,17.887,17.598,17.732,244094374,0
2007-09-04,17.927,18.662,17.908,18.462,365720853,0
2007-09-05,18.585,18.674,17.43,17.514,647417491,0
2007-09-06,17.366,17.621,16.993,17.29,529504287,0
2007-09-07,16.906,16.943,16.648,16.875,398554970,0
2007-09-10,17.543,17.677,17.154,17.507,414352649,0
2007-09-11,17.661,17.709,17.129,17.353,270375496,0
2007-09-12,17.416,17.853,17.386,17.525,285182768,0
2007-09-13,17.772,17.801,17.499,17.571,182992127,0
2007-09-14,17.487,17.798,17.441,17.776,169371181,0
2007-09-17,17.8,18.003,17.624,17.723,220975432,0
2007-09-18,17.795,18.295,17.653,18.048,296192315,0
2007-09-19,18.315,18.334,17.853,18.025,286043490,0
2007-09-20,17.945,18.156,17.843,17.967,191903497,0
2007-09-21,18.068,18.524,17.967,18.461,317434345,0
2007-09-24,18.781,19.189,18.781,18.99,292461723,0
2007-09-25,18.804,19.62,18.804,19.615,331618710,0
2007-09-26,19.776,19.849,19.368,19.565,271691797,0
2007-09-27,19.698,19.79,19.507,19.787,182925326,0
2007-09-28,19.644,19.798,19.562,19.653,171131375,0
2007-10-01,19.802,20.16,19.586,20.02,233145108,0
2007-10-02,20.079,20.31,19.964,20.292,220543979,0
2007-10-03,20.234,20.387,20.107,20.223,192841867,0
2007-10-04,20.229,20.243,19.657,20.008,182716015,0
2007-10-05,20.282,20.692,20.194,20.675,261664740,0
2007-10-08,20.894,21.504,20.87,21.504,232735102,0
2007-10-09,21.783,21.914,21.345,21.497,307868594,0
2007-10-10,21.464,21.5,21.208,21.358,185672389,0
2007-10-11,21.706,22.01,19.619,20.776,455246229,0
2007-10-12,20.895,21.422,20.72,21.419,275185100,0
2007-10-15,21.511,21.714,20.938,21.382,300342626,0
2007-10-16,21.184,21.792,21.148,21.715,296293365,0
2007-10-17,22.116,22.159,21.668,22.125,314097892,0
2007-10-18,21.961,22.307,21.907,22.218,229374861,0
2007-10-19,22.303,22.365,21.771,21.824,359678702,0
2007-10-22,21.789,22.398,21.765,22.33,443542508,0
2007-10-23,24.14,24.152,23.405,23.84,499663734,0
2007-10-24,23.8,23.974,22.954,23.812,358751843,0
2007-10-25,23.673,23.807,23.262,23.407,270734530,0
2007-10-26,23.69,23.738,23.42,23.653,196930829,0
2007-10-29,23.781,23.895,23.653,23.703,150676483,0
2007-10-30,23.836,24.249,23.656,23.949,261833218,0
2007-10-31,24.041,24.347,23.686,24.327,232166600,0
2007-11-01,24.152,24.346,23.051,24.003,224376046,0
2007-11-02,24.223,24.259,23.496,24.059,279360391,0
2007-11-05,23.728,24.198,23.594,23.843,224072318,0
2007-11-06,23.953,24.588,23.725,24.56,266027068,0
2007-11-07,24.382,24.675,23.836,23.857,276595039,0
2007-11-08,23.885,23.935,21.486,22.469,526696031,0
2007-11-09,21.88,22.428,21.157,21.179,425162196,0
2007-11-12,21.13,21.479,19.291,19.691,492362604,0
2007-11-13,20.615,21.897,19.691,21.765,484373501,0
2007-11-14,22.733,22.739,20.97,21.274,403585172,0
2007-11-15,21.28,21.717,20.528,21.04,414487458,0
2007-11-16,21.193,21.388,20.405,21.309,385660112,0
2007-11-19,21.262,21.54,20.758,20.996,321694225,0
2007-11-20,21.247,22,20.942,21.623,429930531,0
2007-11-21,21.195,22.072,21.086,21.572,339509885,0
2007-11-23,22.027,22.033,21.739,21.967,129891462,0
2007-11-26,22.268,22.7,22.072,22.097,363869639,0
2007-11-27,22.439,22.511,21.772,22.387,366923874,0
2007-11-28,22.669,23.128,22.456,23.08,320237489,0
2007-11-29,22.959,23.714,22.943,23.6,291924936,0
2007-11-30,24.016,24.039,23.012,23.335,331057965,0
2007-12-03,23.282,23.584,22.755,22.908,267838964,0
2007-12-04,22.679,23.167,22.667,23.027,215691856,0
2007-12-05,23.435,23.819,23.361,23.755,248378681,0
2007-12-06,23.847,24.346,23.834,24.327,250866121,0
2007-12-07,24.401,24.972,24.081,24.883,297123533,0
2007-12-10,24.79,25.057,24.675,24.873,201210463,0
2007-12-11,24.947,25.207,23.996,24.145,308945448,0
2007-12-12,24.779,24.905,23.787,24.441,341155751,0
2007-12-13,24.346,24.604,24.053,24.565,241126701,0
2007-12-14,24.369,25.612,24.273,24.381,188026204,0
2007-12-17,24.423,24.672,23.433,23.615,285267629,0
2007-12-18,23.916,23.989,22.872,23.433,340716873,0
2007-12-19,23.447,23.644,23.167,23.451,230164023,0
2007-12-20,23.748,24.054,23.477,23.974,215053709,0
2007-12-21,24.336,24.833,24.319,24.833,277136695,0
2007-12-24,24.973,25.527,24.944,25.459,133938457,0
2007-12-26,25.486,25.735,25.205,25.478,196023777,0
2007-12-27,25.478,25.992,25.331,25.429,221610714,0
2007-12-28,25.681,25.811,25.213,25.591,193249555,0
2007-12-31,25.58,25.675,25.323,25.368,149767323,0
2008-01-02,25.547,25.646,24.658,24.951,300780650,0
2008-01-03,25.034,25.278,24.675,24.964,234652068,0
2008-01-04,24.527,24.715,22.91,23.057,405631839,0
2008-01-07,23.213,23.51,21.799,22.748,577574252,0
2008-01-08,23.06,23.368,21.874,21.932,424241367,0
2008-01-09,21.961,22.986,21.552,22.973,505605195,0
2008-01-10,22.748,23.181,22.463,22.796,413104626,0
2008-01-11,22.537,22.774,21.771,22.116,343006974,0
2008-01-14,22.743,22.976,22.434,22.898,306290012,0
2008-01-15,22.767,22.952,21.085,21.648,653218753,0
2008-01-16,21.144,21.644,20.068,20.443,617221901,0
2008-01-17,20.672,21.178,20.287,20.604,490056992,0
2008-01-18,20.709,21.228,20.438,20.664,478705168,0
2008-01-22,18.941,20.488,18.696,19.93,668204384,0
2008-01-23,17.439,17.927,16.154,17.81,939695278,0
2008-01-24,17.927,18.016,16.906,17.366,558747916,0
2008-01-25,17.804,17.813,16.598,16.65,432827562,0
2008-01-28,16.393,17.058,16.195,16.65,410897690,0
2008-01-29,16.802,17.004,16.528,16.845,306592896,0
2008-01-30,16.84,17.349,16.648,16.928,346000509,0
2008-01-31,16.608,17.499,16.57,17.337,374807167,0
2008-02-01,17.454,17.49,16.928,17.129,281707026,0
2008-02-04,17.19,17.403,16.83,16.86,250535180,0
2008-02-05,16.7,17.159,16.507,16.565,317853612,0
2008-02-06,16.759,16.895,15.597,15.623,437605500,0
2008-02-07,15.364,15.981,15.017,15.526,580659389,0
2008-02-08,15.632,16.097,15.574,16.07,377878653,0
2008-02-11,16.399,16.646,16.29,16.577,334732316,0
2008-02-12,16.744,16.774,15.83,15.991,341619552,0
2008-02-13,16.231,16.62,16.087,16.57,269675765,0
2008-02-14,16.578,16.751,16.265,16.322,265982495,0
2008-02-15,16.173,16.273,15.886,15.962,250737774,0
2008-02-19,16.142,16.232,15.552,15.644,279953599,0
2008-02-20,15.649,15.958,15.584,15.856,269429202,0
2008-02-21,16.149,16.198,15.476,15.567,261418619,0
2008-02-22,15.687,15.689,14.839,15.296,426218780,0
2008-02-25,15.186,15.391,14.94,15.335,350160432,0
2008-02-26,15.066,15.507,14.784,15.258,417111822,0
2008-02-27,15.143,15.758,15.122,15.748,407279206,0
2008-02-28,16.282,16.929,16.106,16.636,450691198,0
2008-02-29,16.559,16.676,15.984,16.009,347604195,0
2008-03-03,15.932,16.134,15.112,15.591,444179020,0
2008-03-04,15.621,15.993,15.42,15.961,497707051,0
2008-03-05,15.827,16.024,15.653,15.942,339718950,0
2008-03-06,15.995,16.328,15.47,15.484,410732148,0
2008-03-07,15.431,15.749,15.247,15.653,343135737,0
2008-03-10,15.641,15.811,15.285,15.328,278980325,0
2008-03-11,15.843,16.325,15.623,16.308,324881375,0
2008-03-12,16.264,16.48,16.028,16.14,295393929,0
2008-03-13,15.871,16.582,15.752,16.385,352229888,0
2008-03-14,16.647,16.687,15.906,16.213,322574554,0
2008-03-17,15.697,16.468,15.694,16.23,298973888,0
2008-03-18,16.561,17.032,16.479,17.009,335975837,0
2008-03-19,17.043,17.197,16.605,16.605,281724859,0
2008-03-20,16.754,17.069,16.543,17.066,253287048,0
2008-03-24,17.167,18.038,17.116,17.872,297599035,0
2008-03-25,17.926,18.326,17.588,18.055,293513679,0
2008-03-26,18.041,18.663,18.009,18.579,329588666,0
2008-03-27,18.554,18.61,17.926,17.958,278205997,0
2008-03-28,18.16,18.524,18.133,18.315,199318317,0
2008-03-31,18.339,18.66,18.251,18.377,213931597,0
2008-04-01,18.736,19.166,18.392,19.148,287519306,0
2008-04-02,19.079,19.363,18.675,18.887,290735661,0
2008-04-03,18.839,19.673,18.826,19.415,293199532,0
2008-04-04,19.492,19.811,19.306,19.603,238196737,0
2008-04-07,20.001,20.448,19.864,19.964,322998125,0
2008-04-08,19.654,20.033,19.507,19.574,282722188,0
2008-04-09,19.637,19.708,19.269,19.394,243557848,0
2008-04-10,19.352,19.903,19.286,19.792,266538010,0
2008-04-11,19.546,19.629,18.748,18.843,335743874,0
2008-04-14,18.782,19.113,18.51,18.924,235659480,0
2008-04-15,19.132,19.172,18.661,19.003,193859954,0
2008-04-16,19.433,19.734,19.289,19.682,221690612,0
2008-04-17,19.746,19.977,19.637,19.786,196087503,0
2008-04-18,20.368,20.781,20.282,20.623,286176516,0
2008-04-21,20.791,21.576,20.716,21.534,289503500,0
2008-04-22,21.441,21.514,20.244,20.515,400204854,0
2008-04-23,21.009,21.11,20.628,20.86,419493319,0
2008-04-24,21.175,21.768,20.388,21.636,473335824,0
2008-04-25,21.86,21.913,21.312,21.736,276783580,0
2008-04-28,21.739,22.25,21.661,22.057,219367063,0
2008-04-29,21.914,22.496,21.802,22.418,257241562,0
2008-04-30,22.564,23.051,22.144,22.275,317442129,0
2008-05-01,22.405,23.051,22.393,23.051,251633136,0
2008-05-02,23.075,23.294,22.865,23.173,277738755,0
2008-05-05,23.294,23.73,23.188,23.656,238104028,0
2008-05-06,23.647,23.962,23.33,23.905,255948722,0
2008-05-07,23.825,24.103,23.523,23.609,195738103,0
2008-05-08,23.533,23.884,23.445,23.699,250554038,0
2008-05-09,23.457,23.596,23.226,23.491,187593127,0
2008-05-12,23.72,24.186,23.417,24.097,228261727,0
2008-05-13,24.152,24.517,24.057,24.329,229128499,0
2008-05-14,24.497,24.619,23.765,23.853,255441462,0
2008-05-15,23.919,24.32,23.59,24.298,243325898,0
2008-05-16,24.369,24.369,23.949,24.028,213366015,0
2008-05-19,24.062,24.164,23.218,23.51,263760564,0
2008-05-20,23.284,23.84,23.065,23.807,270241158,0
2008-05-21,23.769,24.075,22.57,22.819,322612253,0
2008-05-22,22.948,23.222,22.027,22.673,336519572,0
2008-05-23,23.148,23.304,22.767,23.202,252938866,0
2008-05-27,23.41,23.875,23.285,23.875,220113009,0
2008-05-28,24.01,24.069,23.526,23.95,207308665,0
